Date,DJI_close,DJI_pct,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2019-05-01,26430.140625,-0.006120786716971804,73.44,69.35,69.08,51.3,33.12,30.49
2019-07-01,26717.4296875,0.004416124906198471,72.0,68.22,66.67,53.28,36.22,36.48
2019-08-01,26583.419921875,-0.010454392182460026,69.52,70.08,63.93,52.11,36.43,37.97
2019-10-01,26573.0390625,-0.012772344092047971,66.33,59.79,59.13,44.92,34.71,37.5
2019-11-01,27347.359375,0.011133858620258952,70.09,63.96,61.6,49.25,43.85,31.97
2020-04-01,20943.509765625,-0.04442411259870038,80.99,75.0,64.38,51.53,49.34,26.14
2020-05-01,23723.689453125,-0.02554992138393164,81.9,74.05,62.99,47.1,44.36,23.64
2020-06-01,25475.01953125,0.0036209179455579665,79.59,75.89,56.3,49.68,39.68,21.3
2020-07-01,25734.970703125,-0.003018266603965869,80.95,73.61,54.72,45.86,40.37,16.76
2020-09-01,28645.66015625,0.007583854726780803,69.86,70.07,45.92,37.87,24.0,15.34
2020-10-01,27816.900390625,0.001267063313796335,67.61,70.71,46.39,34.16,25.0,13.59
2020-12-01,29823.919921875,0.006251275124902866,61.54,69.17,44.68,31.47,25.77,19.38
2021-02-01,30211.91015625,0.007647464504337398,62.12,75.0,42.7,29.51,34.83,25.37
